code,name,swatch,iscool
N33-005-016,Resene Half Diesel,jpegs/Resene_Half_Diesel.jpg,true
BR78-032-075,Resene Half Doeskin,jpegs/Resene_Half_Doeskin.jpg,true
N84-006-164,Resene Half Emerge,jpegs/Resene_Half_Emerge.jpg,true
N42-002-345,Resene Half Fuscous Grey,jpegs/Resene_Half_Fuscous_Grey.jpg,true
BR68-023-070,Resene Half Gargoyle,jpegs/Resene_Half_Gargoyle.jpg,true
G77-025-092,Resene Half Hillary,jpegs/Resene_Half_Hillary.jpg,true
N71-002-088,Resene Half Jumbo,jpegs/Resene_Half_Jumbo.jpg,true
BR71-049-060,Resene Half Kalgoorie Sands,jpegs/Resene_Half_Kalgoorie_Sands.jpg,true
N35-006-126,Resene Half Karaka,jpegs/Resene_Half_Karaka.jpg,true
BR51-008-073,Resene Half Masala,jpegs/Resene_Half_Masala.jpg,true
Y76-014-081,Resene Half Napa,jpegs/Resene_Half_Napa.jpg,true
Y88-023-090,Resene Half Parchment,jpegs/Resene_Half_Parchment.jpg,true
BR78-022-070,Resene Half Sandcastle,jpegs/Resene_Half_Sandcastle.jpg,true
Y88-012-079,Resene Half Sandspit Brown,jpegs/Resene_Half_Sandspit_Brown.jpg,true
N53-006-336,Resene Half Sidewinder,jpegs/Resene_Half_Sidewinder.jpg,true
N80-002-146,Resene Half Silver Chalice,jpegs/Resene_Half_Silver_Chalice.jpg,true
Y84-025-082,Resene Half Sisal,jpegs/Resene_Half_Sisal.jpg,true
N70-002-168,Resene Half Stack,jpegs/Resene_Half_Stack.jpg,true
BR67-008-074,Resene Half Stonehenge,jpegs/Resene_Half_Stonehenge.jpg,true
G66-009-097,Resene Half Tapa,jpegs/Resene_Half_Tapa.jpg,true
N87-007-132,Resene Half Tasman,jpegs/Resene_Half_Tasman.jpg,true
Y71-009-090,Resene Half Taupe Grey,jpegs/Resene_Half_Taupe_Grey.jpg,true
G90-011-092,Resene Half Titania,jpegs/Resene_Half_Titania.jpg,true
Y84-009-084,Resene Half Truffle,jpegs/Resene_Half_Truffle.jpg,true
N93-004-080,Resene Half Vista White,jpegs/Resene_Half_Vista_White.jpg,true
G74-014-143,Resene Haven,jpegs/Resene_Haven.jpg,true
Y84-041-077,Resene Haystack,jpegs/Resene_Haystack.jpg,true
BR70-012-032,Resene Hazy Lavender,jpegs/Resene_Hazy_Lavender.jpg,true
G29-009-099,Resene Helter Skelter,jpegs/Resene_Helter_Skelter.jpg,true
G74-042-099,Resene Hideaway,jpegs/Resene_Hideaway.jpg,true
G72-034-091,Resene Hillary,jpegs/Resene_Hillary.jpg,true
N74-006-196,Resene Hit Grey,jpegs/Resene_Hit_Grey.jpg,true
Y83-028-088,Resene Hitchhiker,jpegs/Resene_Hitchhiker.jpg,true
B63-034-224,Resene Horizon,jpegs/Resene_Horizon.jpg,true
